时间,数值
2025-07-27 15:15:20.281,3020.0
2025-07-27 15:15:20.282,2835.0
2025-07-27 15:15:20.283,2790.0
2025-07-27 15:15:20.283,3090.0
2025-07-27 15:15:20.284,3090.0
2025-07-27 15:15:20.284,2830.0
2025-07-27 15:15:20.358,3020.0
2025-07-27 15:15:20.359,2945.0
2025-07-27 15:15:20.360,2970.0
2025-07-27 15:15:20.360,2765.0
2025-07-27 15:15:20.361,2860.0
2025-07-27 15:15:20.361,3025.0
2025-07-27 15:15:20.362,3120.0
2025-07-27 15:15:20.362,2865.0
2025-07-27 15:15:20.363,2785.0
2025-07-27 15:15:20.363,2995.0
2025-07-27 15:15:20.382,3055.0
2025-07-27 15:15:20.383,2885.0
2025-07-27 15:15:20.385,2975.0
2025-07-27 15:15:20.386,3015.0
2025-07-27 15:15:20.386,2900.0
2025-07-27 15:15:20.387,2735.0
2025-07-27 15:15:20.417,2805.0
2025-07-27 15:15:20.418,3055.0
2025-07-27 15:15:20.419,3170.0
2025-07-27 15:15:20.420,2855.0
2025-07-27 15:15:20.421,2925.0
2025-07-27 15:15:20.450,2985.0
2025-07-27 15:15:20.452,3050.0
2025-07-27 15:15:20.452,2810.0
2025-07-27 15:15:20.453,2910.0
2025-07-27 15:15:20.453,3065.0
2025-07-27 15:15:20.485,3005.0
2025-07-27 15:15:20.486,2870.0
2025-07-27 15:15:20.486,3020.0
2025-07-27 15:15:20.487,3070.0
2025-07-27 15:15:20.487,2905.0
2025-07-27 15:15:20.488,2720.0
2025-07-27 15:15:20.518,2760.0
2025-07-27 15:15:20.519,3065.0
2025-07-27 15:15:20.520,3175.0
2025-07-27 15:15:20.521,2865.0
2025-07-27 15:15:20.522,2930.0
2025-07-27 15:15:20.552,3020.0
2025-07-27 15:15:20.553,3015.0
2025-07-27 15:15:20.554,2780.0
2025-07-27 15:15:20.554,2835.0
2025-07-27 15:15:20.554,3020.0
2025-07-27 15:15:20.586,3135.0
2025-07-27 15:15:20.587,2950.0
2025-07-27 15:15:20.588,3000.0
2025-07-27 15:15:20.589,2935.0
2025-07-27 15:15:20.590,2950.0
2025-07-27 15:15:20.590,2765.0
2025-07-27 15:15:20.620,2990.0
2025-07-27 15:15:20.621,2970.0
2025-07-27 15:15:20.623,3005.0
2025-07-27 15:15:20.623,2740.0
2025-07-27 15:15:20.624,2835.0
2025-07-27 15:15:20.654,3030.0
2025-07-27 15:15:20.654,3115.0
2025-07-27 15:15:20.656,2875.0
2025-07-27 15:15:20.657,2895.0
2025-07-27 15:15:20.657,2945.0
2025-07-27 15:15:20.688,2935.0
2025-07-27 15:15:20.689,2805.0
2025-07-27 15:15:20.690,2780.0
2025-07-27 15:15:20.690,3155.0
2025-07-27 15:15:20.691,3125.0
2025-07-27 15:15:20.691,2890.0
2025-07-27 15:15:20.722,3030.0
2025-07-27 15:15:20.723,2910.0
2025-07-27 15:15:20.724,2960.0
2025-07-27 15:15:20.724,2750.0
2025-07-27 15:15:20.725,2860.0
2025-07-27 15:15:20.756,3035.0
2025-07-27 15:15:20.757,3085.0
2025-07-27 15:15:20.758,2845.0
2025-07-27 15:15:20.758,2800.0
2025-07-27 15:15:20.759,3035.0
2025-07-27 15:15:20.789,3045.0
2025-07-27 15:15:20.791,2870.0
2025-07-27 15:15:20.791,2800.0
2025-07-27 15:15:20.792,3075.0
2025-07-27 15:15:20.792,3090.0
2025-07-27 15:15:20.793,2860.0
2025-07-27 15:15:20.842,3015.0
2025-07-27 15:15:20.842,2935.0
2025-07-27 15:15:20.844,2930.0
2025-07-27 15:15:20.845,2695.0
2025-07-27 15:15:20.845,2805.0
2025-07-27 15:15:20.857,3085.0
2025-07-27 15:15:20.858,3190.0
2025-07-27 15:15:20.860,2920.0
2025-07-27 15:15:20.860,2825.0
2025-07-27 15:15:20.861,3000.0
2025-07-27 15:15:20.891,2940.0
2025-07-27 15:15:20.893,2800.0
2025-07-27 15:15:20.893,2770.0
2025-07-27 15:15:20.894,3160.0
2025-07-27 15:15:20.895,3115.0
2025-07-27 15:15:20.895,2880.0
2025-07-27 15:15:20.925,3035.0
2025-07-27 15:15:20.926,2920.0
2025-07-27 15:15:20.927,2935.0
